# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.325070e-01	1.000000e+00	1.123430e-01
2             	1.374640e-01	5.918520e-01	2.573500e-01	5.877600e-01
3             	3.132520e-02	4.625960e-01	1.450840e-01	4.409020e-01
4             	4.743570e-02	3.126730e-01	9.241500e-02	2.840240e-01
5             	9.850770e-02	2.498470e-01	7.013350e-02	2.323850e-01
6             	1.707320e-01	2.131160e-01	5.622800e-02	2.041880e-01
7             	1.818230e-01	1.809790e-01	4.747500e-02	1.718380e-01
8             	1.344890e-01	1.503930e-01	4.190860e-02	1.445210e-01
9             	1.069840e-01	1.224870e-01	3.687300e-02	1.143590e-01
10            	7.631520e-02	1.087870e-01	3.109560e-02	9.944720e-02
11            	6.036780e-02	9.862030e-02	2.576370e-02	9.328030e-02
12            	4.977630e-02	8.746270e-02	2.180770e-02	8.564900e-02
13            	4.458110e-02	7.525800e-02	1.887120e-02	7.625040e-02
14            	4.397470e-02	6.525320e-02	1.671410e-02	6.733450e-02
15            	4.331360e-02	5.935850e-02	1.525380e-02	6.057620e-02
16            	4.764760e-02	5.657710e-02	1.443860e-02	5.520820e-02
17            	4.976880e-02	5.137850e-02	1.338300e-02	4.958150e-02
18            	5.006650e-02	4.650210e-02	1.208650e-02	4.465370e-02
19            	4.906790e-02	4.198610e-02	1.069670e-02	3.999910e-02
20            	4.720120e-02	3.785000e-02	9.283200e-03	3.630910e-02
21            	4.595400e-02	3.420580e-02	7.991300e-03	3.340550e-02
22            	4.497970e-02	3.111350e-02	6.976860e-03	3.078240e-02
23            	4.371120e-02	2.853880e-02	6.213680e-03	2.831910e-02
24            	4.179620e-02	2.642980e-02	5.765340e-03	2.617690e-02
25            	4.110150e-02	2.479380e-02	5.604000e-03	2.450920e-02
26            	4.121550e-02	2.360860e-02	5.525400e-03	2.349180e-02
27            	4.161400e-02	2.279260e-02	5.349050e-03	2.311660e-02
28            	4.261940e-02	2.209240e-02	5.139510e-03	2.285910e-02
29            	4.366040e-02	2.149700e-02	5.002590e-03	2.275200e-02
30            	4.507420e-02	2.099750e-02	4.861200e-03	2.247910e-02
31            	4.572140e-02	2.033670e-02	4.694750e-03	2.191140e-02
32            	4.691120e-02	1.975740e-02	4.547590e-03	2.089760e-02
33            	4.913060e-02	1.964340e-02	4.472190e-03	2.023570e-02
34            	5.183570e-02	1.963990e-02	4.480400e-03	1.993120e-02
35            	5.521410e-02	1.975780e-02	4.534510e-03	2.042380e-02
36            	5.865790e-02	2.022920e-02	4.720130e-03	2.158340e-02
37            	6.168860e-02	2.068710e-02	4.983170e-03	2.261630e-02
38            	6.230820e-02	2.104620e-02	5.295370e-03	2.348060e-02
39            	6.247510e-02	2.110500e-02	5.564430e-03	2.379050e-02
40            	6.275930e-02	2.100610e-02	5.783590e-03	2.377610e-02
41            	6.178170e-02	2.159440e-02	5.981860e-03	2.441780e-02
42            	6.095450e-02	2.217510e-02	6.144630e-03	2.523280e-02
43            	6.071320e-02	2.284370e-02	6.158830e-03	2.591930e-02
44            	6.009850e-02	2.352540e-02	6.042960e-03	2.578420e-02
45            	6.018210e-02	2.404420e-02	5.905490e-03	2.461990e-02
46            	6.046500e-02	2.412900e-02	5.665680e-03	2.364240e-02
47            	6.043550e-02	2.328830e-02	5.336700e-03	2.211540e-02
48            	5.887560e-02	2.186560e-02	5.136180e-03	2.070470e-02
49            	5.774420e-02	2.056890e-02	5.071140e-03	1.981080e-02
50            	5.684610e-02	1.967880e-02	5.005210e-03	1.931510e-02
51            	5.624880e-02	1.938240e-02	4.881410e-03	1.913660e-02
52            	5.498410e-02	1.988380e-02	4.657100e-03	1.899280e-02
53            	5.382500e-02	2.021780e-02	4.400180e-03	1.854540e-02
54            	5.399980e-02	2.075060e-02	4.279830e-03	1.844280e-02
55            	5.404120e-02	2.121160e-02	4.309700e-03	1.883820e-02
56            	5.333250e-02	2.149060e-02	4.451150e-03	1.929060e-02
57            	5.245800e-02	2.177930e-02	4.619190e-03	1.965760e-02
58            	5.204140e-02	2.214920e-02	4.758580e-03	2.000650e-02
59            	5.164440e-02	2.205600e-02	4.838970e-03	1.982710e-02
60            	5.109720e-02	2.157710e-02	4.861080e-03	1.977500e-02
61            	5.116930e-02	2.085080e-02	4.850540e-03	1.937610e-02
62            	5.190960e-02	2.006370e-02	4.806840e-03	1.899800e-02
63            	5.299010e-02	2.025700e-02	4.759700e-03	1.963500e-02
64            	5.294030e-02	2.092460e-02	4.646930e-03	1.976250e-02
65            	5.195500e-02	2.212150e-02	4.571600e-03	2.019200e-02
66            	5.047590e-02	2.324830e-02	4.607370e-03	2.021680e-02
67            	4.911200e-02	2.394660e-02	4.788830e-03	1.993420e-02
68            	5.012800e-02	2.450700e-02	5.085950e-03	1.978020e-02
69            	5.304460e-02	2.515750e-02	5.417080e-03	2.038570e-02
70            	5.643510e-02	2.552440e-02	5.662840e-03	2.122550e-02
71            	5.897920e-02	2.531940e-02	5.851040e-03	2.174710e-02
72            	6.032480e-02	2.585740e-02	6.087140e-03	2.275130e-02
73            	6.078010e-02	2.701160e-02	6.397860e-03	2.416450e-02
74            	6.088680e-02	2.874350e-02	6.709680e-03	2.524600e-02
75            	6.071520e-02	3.089530e-02	7.044420e-03	2.676520e-02
76            	6.267860e-02	3.302630e-02	7.519330e-03	2.837040e-02
77            	6.452910e-02	3.639530e-02	8.209250e-03	3.117890e-02
78            	6.786070e-02	3.961400e-02	8.981850e-03	3.431710e-02
79            	7.173940e-02	4.144510e-02	9.789630e-03	3.785980e-02
80            	7.396030e-02	4.273470e-02	1.050160e-02	4.138310e-02
81            	7.421340e-02	4.275710e-02	1.083580e-02	4.321120e-02
82            	7.296970e-02	4.220040e-02	1.085830e-02	4.307480e-02
83            	7.343230e-02	4.186410e-02	1.064650e-02	4.171570e-02
84            	7.098060e-02	4.329770e-02	1.053090e-02	4.166400e-02
85            	6.772590e-02	4.599670e-02	1.055690e-02	4.206510e-02
86            	6.612690e-02	4.831650e-02	1.051640e-02	4.225310e-02
87            	7.046050e-02	4.842620e-02	1.036530e-02	4.187350e-02
88            	7.502720e-02	4.647000e-02	9.995810e-03	4.106620e-02
89            	7.253340e-02	4.220870e-02	9.279440e-03	3.773630e-02
90            	6.681760e-02	3.725690e-02	8.267680e-03	3.345790e-02
91            	6.002080e-02	3.314050e-02	7.460390e-03	3.032520e-02
92            	5.487610e-02	3.044890e-02	6.710750e-03	2.787270e-02
93            	5.194120e-02	2.877220e-02	6.034680e-03	2.597310e-02
94            	5.169310e-02	2.798340e-02	5.582350e-03	2.488440e-02
95            	5.255670e-02	2.736460e-02	5.274080e-03	2.441920e-02
96            	5.232800e-02	2.638950e-02	5.039900e-03	2.361120e-02
97            	5.216410e-02	2.499330e-02	4.947750e-03	2.241230e-02
98            	5.269650e-02	2.416760e-02	4.956260e-03	2.188710e-02
99            	5.281330e-02	2.325210e-02	4.967820e-03	2.168500e-02
100           	5.249200e-02	2.266700e-02	4.936630e-03	2.127830e-02
101           	5.194340e-02	2.219880e-02	4.773370e-03	2.088040e-02
102           	5.090710e-02	2.156270e-02	4.585970e-03	2.062800e-02
103           	4.907630e-02	2.103400e-02	4.436180e-03	2.052630e-02
104           	4.712010e-02	2.032400e-02	4.339060e-03	2.030970e-02
105           	4.598560e-02	1.970740e-02	4.239710e-03	2.003430e-02
106           	4.598710e-02	1.925040e-02	4.128030e-03	1.966300e-02
107           	4.630650e-02	1.900850e-02	4.009390e-03	1.933270e-02
108           	4.643280e-02	1.860690e-02	3.905820e-03	1.895080e-02
109           	4.605180e-02	1.837430e-02	3.905160e-03	1.886390e-02
110           	4.537420e-02	1.838820e-02	3.937410e-03	1.887200e-02
111           	4.530150e-02	1.862820e-02	3.996140e-03	1.909380e-02
112           	4.526480e-02	1.919060e-02	4.065170e-03	1.951740e-02
113           	4.525100e-02	1.999100e-02	4.206160e-03	2.004050e-02
114           	4.554920e-02	2.086160e-02	4.417250e-03	2.044440e-02
115           	4.639590e-02	2.226990e-02	4.743220e-03	2.128250e-02
116           	4.856430e-02	2.402640e-02	5.223640e-03	2.243190e-02
117           	5.119030e-02	2.613370e-02	5.869190e-03	2.423790e-02
118           	5.419750e-02	2.808860e-02	6.680740e-03	2.637710e-02
119           	5.963280e-02	2.980130e-02	7.536080e-03	2.921140e-02
120           	6.525210e-02	3.132020e-02	8.523300e-03	3.262060e-02
121           	7.147690e-02	3.361290e-02	9.609620e-03	3.666880e-02
122           	7.764210e-02	3.708390e-02	1.070070e-02	4.089570e-02
123           	8.358680e-02	4.198820e-02	1.175070e-02	4.559620e-02
124           	8.669450e-02	5.120000e-02	1.309740e-02	5.305390e-02
125           	9.113280e-02	5.623030e-02	1.416500e-02	5.641150e-02
126           	8.851910e-02	6.504910e-02	1.526620e-02	6.061850e-02
127           	9.294020e-02	7.267610e-02	1.649640e-02	6.546120e-02
128           	1.043920e-01	7.705720e-02	1.730440e-02	6.743810e-02
129           	1.117590e-01	7.491310e-02	1.765250e-02	6.571740e-02
130           	1.065620e-01	6.766060e-02	1.717950e-02	6.014410e-02
131           	8.481150e-02	5.830200e-02	1.613670e-02	5.374550e-02
132           	7.054430e-02	5.254780e-02	1.430830e-02	4.873890e-02
133           	6.601830e-02	5.006680e-02	1.233720e-02	4.498900e-02
134           	6.435780e-02	4.866010e-02	1.069120e-02	4.262100e-02
135           	6.469490e-02	4.783390e-02	9.619390e-03	4.120360e-02
136           	6.688530e-02	4.699840e-02	9.019280e-03	3.952980e-02
137           	6.742300e-02	4.542660e-02	8.593900e-03	3.789720e-02
138           	6.611980e-02	4.404320e-02	8.372250e-03	3.758970e-02
139           	6.712880e-02	4.111850e-02	8.225890e-03	3.679520e-02
140           	6.850600e-02	3.782350e-02	7.914670e-03	3.480010e-02
141           	6.798180e-02	3.492150e-02	7.662200e-03	3.288990e-02
142           	6.552040e-02	3.293990e-02	7.450620e-03	3.294170e-02
143           	6.334280e-02	3.156020e-02	7.211670e-03	3.318220e-02
144           	6.236840e-02	3.070570e-02	7.015500e-03	3.305930e-02
145           	6.166820e-02	2.995700e-02	6.743420e-03	3.219490e-02
146           	6.053440e-02	2.924920e-02	6.373970e-03	3.094430e-02
147           	6.005700e-02	2.788230e-02	5.948660e-03	2.879040e-02
148           	5.925260e-02	2.595480e-02	5.437690e-03	2.674250e-02
149           	5.778660e-02	2.401360e-02	5.073980e-03	2.497710e-02
150           	5.553300e-02	2.274240e-02	4.783350e-03	2.394750e-02
151           	5.265770e-02	2.193970e-02	4.604320e-03	2.317740e-02
152           	5.060070e-02	2.166650e-02	4.554510e-03	2.245100e-02
153           	5.031720e-02	2.212040e-02	4.602130e-03	2.209290e-02
154           	5.061300e-02	2.274800e-02	4.668110e-03	2.166570e-02
155           	5.194950e-02	2.304860e-02	4.776730e-03	2.189690e-02
156           	5.280740e-02	2.294220e-02	4.896910e-03	2.220190e-02
157           	5.310910e-02	2.242690e-02	4.955390e-03	2.222320e-02
158           	5.355570e-02	2.254580e-02	4.955120e-03	2.234720e-02
159           	5.236500e-02	2.337510e-02	4.966850e-03	2.319960e-02
160           	5.121710e-02	2.429910e-02	4.985070e-03	2.374730e-02
161           	5.066890e-02	2.488030e-02	4.992120e-03	2.378780e-02
162           	5.059730e-02	2.532650e-02	5.085400e-03	2.361830e-02
163           	5.094190e-02	2.589580e-02	5.265560e-03	2.352310e-02
164           	5.139570e-02	2.648630e-02	5.455190e-03	2.359070e-02
165           	5.409920e-02	2.663210e-02	5.686610e-03	2.406710e-02
166           	5.638110e-02	2.627000e-02	5.862040e-03	2.457330e-02
167           	5.555680e-02	2.559630e-02	5.914980e-03	2.494780e-02
168           	5.370550e-02	2.502600e-02	5.875120e-03	2.514090e-02
169           	5.366690e-02	2.447820e-02	5.716170e-03	2.474930e-02
170           	5.415470e-02	2.350250e-02	5.448460e-03	2.364130e-02
171           	5.389120e-02	2.294890e-02	5.148870e-03	2.264190e-02
172           	5.254910e-02	2.239630e-02	4.869650e-03	2.114890e-02
173           	5.124010e-02	2.196920e-02	4.744490e-03	1.999200e-02
174           	4.980780e-02	2.142600e-02	4.768100e-03	1.930100e-02
175           	4.976470e-02	2.126080e-02	4.940760e-03	1.935720e-02
176           	5.053620e-02	2.117120e-02	5.013230e-03	1.976500e-02
177           	5.168500e-02	2.099720e-02	5.031230e-03	2.051230e-02
178           	5.183260e-02	2.122830e-02	5.076640e-03	2.138980e-02
179           	5.104260e-02	2.218130e-02	5.240150e-03	2.258560e-02
180           	5.130360e-02	2.370390e-02	5.421300e-03	2.380190e-02
181           	5.239550e-02	2.569340e-02	5.711420e-03	2.509990e-02
182           	5.490200e-02	2.866350e-02	6.186810e-03	2.680790e-02
183           	5.708450e-02	3.261080e-02	6.795630e-03	2.914570e-02
184           	6.087040e-02	3.576930e-02	7.416290e-03	3.154700e-02
185           	6.586980e-02	3.802180e-02	8.025640e-03	3.386910e-02
186           	6.886420e-02	3.959190e-02	8.577070e-03	3.663400e-02
187           	6.661120e-02	4.012070e-02	9.084680e-03	3.888700e-02
188           	6.581310e-02	3.955090e-02	9.386430e-03	3.849370e-02
189           	6.544520e-02	3.835280e-02	9.341730e-03	3.639640e-02
190           	6.243580e-02	3.601640e-02	8.980850e-03	3.355690e-02
191           	5.819860e-02	3.378310e-02	8.471270e-03	3.207440e-02
192           	5.539380e-02	3.331800e-02	7.926290e-03	3.105320e-02
193           	5.491330e-02	3.365110e-02	7.254630e-03	2.972020e-02
194           	5.605520e-02	3.311990e-02	6.686890e-03	2.853890e-02
195           	5.707180e-02	3.208360e-02	6.221890e-03	2.779570e-02
196           	5.707800e-02	2.981910e-02	5.647690e-03	2.667970e-02
197           	5.481050e-02	2.709990e-02	5.226980e-03	2.480230e-02
198           	5.346250e-02	2.478500e-02	5.022380e-03	2.310140e-02
199           	5.252350e-02	2.296120e-02	4.869680e-03	2.182690e-02
200           	5.123710e-02	2.131090e-02	4.799910e-03	2.054320e-02
201           	4.880670e-02	1.995630e-02	4.630650e-03	1.928200e-02
202           	4.556890e-02	1.900070e-02	4.367940e-03	1.808600e-02
203           	4.305510e-02	1.811670e-02	4.030260e-03	1.707790e-02
204           	4.042650e-02	1.708420e-02	3.731140e-03	1.605100e-02
205           	3.823950e-02	1.593100e-02	3.505450e-03	1.518110e-02
206           	3.682690e-02	1.499800e-02	3.336780e-03	1.468010e-02
207           	3.583850e-02	1.428560e-02	3.223260e-03	1.445810e-02
208           	3.498470e-02	1.376950e-02	3.133020e-03	1.424010e-02
209           	3.368670e-02	1.344860e-02	3.046340e-03	1.405760e-02
210           	3.218890e-02	1.321930e-02	2.958800e-03	1.383290e-02
211           	3.054960e-02	1.302810e-02	2.893690e-03	1.348570e-02
212           	2.921070e-02	1.272760e-02	2.870580e-03	1.312230e-02
213           	2.830870e-02	1.283250e-02	2.924860e-03	1.315600e-02
214           	2.841240e-02	1.330950e-02	3.096740e-03	1.356990e-02
215           	3.003020e-02	1.432560e-02	3.365080e-03	1.448030e-02
216           	3.289430e-02	1.552320e-02	3.659430e-03	1.545790e-02
217           	3.564410e-02	1.682540e-02	3.920890e-03	1.633440e-02
218           	3.754090e-02	1.779320e-02	4.089410e-03	1.691090e-02
219           	3.825320e-02	1.807120e-02	4.131620e-03	1.702970e-02
220           	3.800130e-02	1.752230e-02	4.031080e-03	1.673500e-02
221           	3.717350e-02	1.640040e-02	3.840870e-03	1.613540e-02
222           	3.585840e-02	1.524560e-02	3.592360e-03	1.522170e-02
223           	3.393270e-02	1.436390e-02	3.343610e-03	1.415170e-02
224           	3.169860e-02	1.387450e-02	3.180340e-03	1.310490e-02
225           	2.982010e-02	1.377030e-02	3.134840e-03	1.233110e-02
226           	2.842520e-02	1.408160e-02	3.157010e-03	1.248750e-02
227           	2.756150e-02	1.461370e-02	3.225340e-03	1.319150e-02
228           	2.737250e-02	1.517410e-02	3.308790e-03	1.390430e-02
229           	2.771510e-02	1.520510e-02	3.351040e-03	1.407730e-02
230           	2.809140e-02	1.495020e-02	3.306280e-03	1.395610e-02
231           	2.773850e-02	1.456360e-02	3.206740e-03	1.348280e-02
232           	2.669170e-02	1.405760e-02	3.063270e-03	1.296820e-02
233           	2.493110e-02	1.354740e-02	2.885530e-03	1.250900e-02
234           	2.336040e-02	1.318660e-02	2.688400e-03	1.179870e-02
235           	2.225090e-02	1.309380e-02	2.594910e-03	1.132000e-02
236           	2.184590e-02	1.338280e-02	2.647900e-03	1.116640e-02
237           	2.237600e-02	1.379130e-02	2.759560e-03	1.128360e-02
238           	2.342700e-02	1.400870e-02	2.839140e-03	1.137200e-02
239           	2.443470e-02	1.361330e-02	2.828890e-03	1.108060e-02
240           	2.463360e-02	1.282310e-02	2.711380e-03	1.063320e-02
241           	2.402250e-02	1.168540e-02	2.519760e-03	1.008980e-02
242           	2.273180e-02	1.049490e-02	2.322440e-03	9.516440e-03
243           	2.115530e-02	9.557870e-03	2.151010e-03	8.917070e-03
244           	1.975010e-02	9.016070e-03	2.023030e-03	8.361070e-03
245           	1.849300e-02	9.132720e-03	1.962100e-03	8.144780e-03
246           	1.775200e-02	9.519460e-03	1.978340e-03	8.102710e-03
247           	1.745500e-02	1.000650e-02	2.034010e-03	8.144890e-03
248           	1.734410e-02	1.034100e-02	2.078690e-03	8.202320e-03
249           	1.728670e-02	1.042440e-02	2.093360e-03	8.237950e-03
250           	1.703450e-02	1.016510e-02	2.062750e-03	8.155510e-03
251           	1.658830e-02	9.633350e-03	1.990770e-03	7.912710e-03
252           	1.597120e-02	8.805000e-03	1.874570e-03	7.448310e-03
253           	1.514940e-02	7.965110e-03	1.712630e-03	6.871500e-03
254           	1.416100e-02	7.217210e-03	1.536920e-03	6.265840e-03
255           	1.314710e-02	6.595670e-03	1.371290e-03	5.698050e-03
256           	1.213740e-02	6.112730e-03	1.236450e-03	5.208060e-03
257           	1.126660e-02	5.782680e-03	1.138930e-03	4.873080e-03
258           	1.051340e-02	5.613800e-03	1.080590e-03	4.735680e-03
259           	9.965690e-03	5.535880e-03	1.062590e-03	4.664860e-03
260           	9.621960e-03	5.524640e-03	1.062070e-03	4.627080e-03
261           	9.446360e-03	5.491270e-03	1.057860e-03	4.567490e-03
262           	9.329790e-03	5.384470e-03	1.038920e-03	4.456710e-03
263           	9.099710e-03	5.205770e-03	1.000630e-03	4.307150e-03
264           	8.798760e-03	4.950680e-03	9.498530e-04	4.143910e-03
265           	8.442970e-03	4.627630e-03	8.974020e-04	3.985180e-03
266           	8.080210e-03	4.267370e-03	8.486620e-04	3.833980e-03
267           	7.740240e-03	3.952900e-03	8.051240e-04	3.676240e-03
268           	7.472110e-03	3.741710e-03	7.732980e-04	3.532850e-03
269           	7.223390e-03	3.614880e-03	7.528810e-04	3.395830e-03
270           	7.001030e-03	3.567140e-03	7.421050e-04	3.332060e-03
271           	6.841740e-03	3.579150e-03	7.385840e-04	3.316600e-03
272           	6.694300e-03	3.647450e-03	7.413970e-04	3.368850e-03
273           	6.578710e-03	3.704920e-03	7.416080e-04	3.395740e-03
274           	6.468580e-03	3.724660e-03	7.356950e-04	3.376600e-03
275           	6.379600e-03	3.656580e-03	7.209850e-04	3.277660e-03
276           	6.280700e-03	3.548370e-03	6.973600e-04	3.151770e-03
277           	6.146450e-03	3.399210e-03	6.672870e-04	3.003550e-03
278           	5.982530e-03	3.216220e-03	6.309540e-04	2.833680e-03
279           	5.801350e-03	3.008830e-03	5.913930e-04	2.650550e-03
280           	5.609790e-03	2.802770e-03	5.509060e-04	2.472910e-03
281           	5.404300e-03	2.632790e-03	5.114280e-04	2.336290e-03
282           	5.200170e-03	2.486700e-03	4.756540e-04	2.226730e-03
283           	4.997480e-03	2.370870e-03	4.464520e-04	2.144180e-03
284           	4.816240e-03	2.279760e-03	4.247070e-04	2.090420e-03
285           	4.635840e-03	2.234380e-03	4.124750e-04	2.067720e-03
286           	4.476090e-03	2.209290e-03	4.080920e-04	2.064250e-03
287           	4.344850e-03	2.198520e-03	4.075930e-04	2.075350e-03
288           	4.231870e-03	2.195060e-03	4.094280e-04	2.092750e-03
289           	4.135670e-03	2.191310e-03	4.120460e-04	2.116910e-03
290           	4.053430e-03	2.189550e-03	4.149010e-04	2.142220e-03
291           	3.996970e-03	2.192930e-03	4.181490e-04	2.167350e-03
292           	3.940210e-03	2.189140e-03	4.222560e-04	2.194820e-03
293           	3.907690e-03	2.216140e-03	4.264730e-04	2.231190e-03
294           	3.884290e-03	2.229930e-03	4.328830e-04	2.271620e-03
295           	3.875380e-03	2.250910e-03	4.405680e-04	2.316210e-03
296           	3.881670e-03	2.277770e-03	4.499040e-04	2.361540e-03
297           	3.901280e-03	2.306710e-03	4.605450e-04	2.403470e-03
298           	3.932530e-03	2.334310e-03	4.716080e-04	2.436600e-03
299           	3.973390e-03	2.363110e-03	4.825840e-04	2.467370e-03
300           	4.022140e-03	2.388390e-03	4.932400e-04	2.495890e-03
301           	4.078930e-03	2.409550e-03	5.033200e-04	2.517610e-03
302           	4.136460e-03	2.429360e-03	5.123920e-04	2.537230e-03
303           	4.196180e-03	2.444950e-03	5.197370e-04	2.554590e-03
304           	4.253840e-03	2.456290e-03	5.254530e-04	2.567760e-03
305           	4.305860e-03	2.461170e-03	5.294820e-04	2.580630e-03
306           	4.355240e-03	2.462780e-03	5.318300e-04	2.592110e-03
307           	4.393310e-03	2.458720e-03	5.324010e-04	2.598190e-03
308           	4.417790e-03	2.450870e-03	5.312000e-04	2.598540e-03
309           	4.430080e-03	2.437200e-03	5.285940e-04	2.595120e-03
310           	4.436050e-03	2.418000e-03	5.245700e-04	2.585840e-03
311           	4.439500e-03	2.397610e-03	5.194740e-04	2.572980e-03
312           	4.438580e-03	2.373440e-03	5.133380e-04	2.554720e-03
313           	4.434750e-03	2.349610e-03	5.064800e-04	2.535360e-03
314           	4.429290e-03	2.329810e-03	4.993440e-04	2.516460e-03
315           	4.420620e-03	2.308310e-03	4.916170e-04	2.498250e-03
316           	4.407990e-03	2.271830e-03	4.820440e-04	2.463660e-03
317           	4.396310e-03	2.240760e-03	4.734330e-04	2.431340e-03
318           	4.376980e-03	2.217050e-03	4.646010e-04	2.402590e-03
319           	4.361340e-03	2.207830e-03	4.549710e-04	2.376350e-03
320           	4.342330e-03	2.193620e-03	4.453270e-04	2.350140e-03
321           	4.317590e-03	2.175830e-03	4.357770e-04	2.319800e-03
322           	4.290450e-03	2.155230e-03	4.258600e-04	2.287750e-03
323           	4.259900e-03	2.133830e-03	4.158740e-04	2.253670e-03
324           	4.224900e-03	2.109530e-03	4.062310e-04	2.217840e-03
325           	4.185200e-03	2.083490e-03	3.974180e-04	2.177650e-03
326           	4.144030e-03	2.057240e-03	3.895880e-04	2.137490e-03
327           	4.097890e-03	2.028730e-03	3.825890e-04	2.096180e-03
328           	4.048820e-03	2.000340e-03	3.762060e-04	2.055960e-03
329           	3.999770e-03	1.972790e-03	3.701000e-04	2.017860e-03
330           	3.951540e-03	1.947510e-03	3.646360e-04	1.982170e-03
331           	3.906000e-03	1.922980e-03	3.589520e-04	1.950130e-03
332           	3.856770e-03	1.894500e-03	3.532860e-04	1.911770e-03
333           	3.802240e-03	1.865280e-03	3.478720e-04	1.871690e-03
334           	3.744440e-03	1.836070e-03	3.420820e-04	1.832740e-03
335           	3.684400e-03	1.803480e-03	3.361080e-04	1.795540e-03
336           	3.619480e-03	1.771400e-03	3.293750e-04	1.755820e-03
337           	3.551940e-03	1.735830e-03	3.222610e-04	1.714320e-03
338           	3.479990e-03	1.698830e-03	3.147360e-04	1.673780e-03
339           	3.405400e-03	1.661230e-03	3.068990e-04	1.630880e-03
340           	3.329890e-03	1.623030e-03	2.988830e-04	1.585750e-03
341           	3.254460e-03	1.582980e-03	2.905980e-04	1.541200e-03
342           	3.184870e-03	1.544110e-03	2.824150e-04	1.495870e-03
343           	3.100290e-03	1.503380e-03	2.746060e-04	1.452180e-03
344           	3.023640e-03	1.468020e-03	2.663200e-04	1.409230e-03
345           	2.942800e-03	1.428590e-03	2.587530e-04	1.366820e-03
346           	2.867870e-03	1.402900e-03	2.507300e-04	1.333980e-03
347           	2.786250e-03	1.368850e-03	2.433630e-04	1.303910e-03
348           	2.702040e-03	1.332810e-03	2.362310e-04	1.274950e-03
349           	2.617380e-03	1.297320e-03	2.296410e-04	1.245270e-03
350           	2.532000e-03	1.261760e-03	2.233730e-04	1.217930e-03
351           	2.450990e-03	1.226860e-03	2.175810e-04	1.191410e-03
352           	2.367260e-03	1.193660e-03	2.126780e-04	1.161950e-03
353           	2.283630e-03	1.162750e-03	2.080100e-04	1.135760e-03
354           	2.201320e-03	1.132030e-03	2.034740e-04	1.110730e-03
355           	2.118530e-03	1.102980e-03	1.989250e-04	1.086300e-03
356           	2.040680e-03	1.073220e-03	1.942030e-04	1.066590e-03
357           	1.963030e-03	1.043120e-03	1.899290e-04	1.040660e-03
358           	1.888120e-03	1.014440e-03	1.858310e-04	1.015570e-03
359           	1.815410e-03	9.855750e-04	1.819750e-04	9.897220e-04
360           	1.744310e-03	9.567760e-04	1.784360e-04	9.643160e-04
361           	1.675480e-03	9.276940e-04	1.753250e-04	9.391520e-04
362           	1.610240e-03	8.991970e-04	1.726290e-04	9.136290e-04
363           	1.548700e-03	8.711820e-04	1.701570e-04	8.877270e-04
364           	1.491000e-03	8.436780e-04	1.676800e-04	8.619800e-04
365           	1.437940e-03	8.176050e-04	1.651590e-04	8.368980e-04
366           	1.389500e-03	7.926840e-04	1.625850e-04	8.120750e-04
367           	1.345320e-03	7.695470e-04	1.600260e-04	7.875370e-04
368           	1.305540e-03	7.487460e-04	1.575190e-04	7.640720e-04
369           	1.270680e-03	7.300480e-04	1.551080e-04	7.424640e-04
370           	1.241920e-03	7.142080e-04	1.527830e-04	7.224250e-04
371           	1.219190e-03	7.007370e-04	1.505740e-04	7.043350e-04
372           	1.201210e-03	6.898630e-04	1.484740e-04	6.880430e-04
373           	1.188010e-03	6.812020e-04	1.464990e-04	6.732790e-04
374           	1.179530e-03	6.739090e-04	1.446310e-04	6.601350e-04
375           	1.175050e-03	6.684460e-04	1.428990e-04	6.485780e-04
376           	1.170680e-03	6.645830e-04	1.413220e-04	6.393240e-04
377           	1.170570e-03	6.612740e-04	1.395430e-04	6.342360e-04
378           	1.168580e-03	6.593680e-04	1.382000e-04	6.264000e-04
379           	1.167840e-03	6.575730e-04	1.366860e-04	6.232800e-04
380           	1.167970e-03	6.561020e-04	1.353360e-04	6.206480e-04
381           	1.168320e-03	6.553310e-04	1.341420e-04	6.193780e-04
382           	1.168000e-03	6.539960e-04	1.330470e-04	6.183970e-04
383           	1.169640e-03	6.523260e-04	1.319580e-04	6.175260e-04
384           	1.167080e-03	6.517120e-04	1.312410e-04	6.152680e-04
385           	1.165930e-03	6.506190e-04	1.303340e-04	6.172780e-04
386           	1.167270e-03	6.496130e-04	1.293930e-04	6.186990e-04
387           	1.164580e-03	6.491980e-04	1.286420e-04	6.166410e-04
388           	1.165920e-03	6.483600e-04	1.276370e-04	6.181020e-04
389           	1.165310e-03	6.475550e-04	1.267960e-04	6.158440e-04
390           	1.164010e-03	6.463840e-04	1.258500e-04	6.141900e-04
391           	1.162860e-03	6.455950e-04	1.247530e-04	6.131770e-04
392           	1.161090e-03	6.439750e-04	1.235760e-04	6.111030e-04
393           	1.158500e-03	6.421920e-04	1.223060e-04	6.086410e-04
394           	1.155630e-03	6.397590e-04	1.209060e-04	6.065400e-04
395           	1.152120e-03	6.370440e-04	1.194500e-04	6.037780e-04
396           	1.148380e-03	6.343730e-04	1.179500e-04	6.009220e-04
397           	1.144530e-03	6.311880e-04	1.164060e-04	5.979530e-04
398           	1.140670e-03	6.277190e-04	1.148780e-04	5.949080e-04
399           	1.136720e-03	6.243020e-04	1.133490e-04	5.917250e-04
